Date time,User_ID,Application_Type,Signal_Strength,Latency,Required_Bandwidth,Resource_Allocation
2022-04-13 23:34:07,USER_7099,Inconnu,-67,279,,76
2022-10-05 23:42:01,USER_8886,Navigation,-87,65,,20
2024-11-06 11:33:52,USER_6329,IoT,Invalid,,9999,40
2024-06-28 18:57:24,USER_6562,,-115,237,25,91
2024-03-28 01:35:25,,Appel Vidéo,,160,9999,73
2023-05-13 20:54:54,USER_4561,Appel Vidéo,-58,195,97,8
2023-03-24 14:30:11,USER_8841,Navigation,-118,211,21,49
2022-05-29 10:38:11,Duplicate,Inconnu,-79,118,51,6
2023-08-29 21:48:01,USER_8960,Appel Vidéo,-200,97,-5,81
2024-12-13 23:33:05,USER_6298,Appel Vidéo,-59,172,7,93
2024-10-14 18:56:31,USER_5608,Inconnu,-66,-10,21,25
2023-08-03 11:50:26,USER_5326,Navigation,-69,58,77,99
2022-05-02 06:15:00,USER_8306,Appel Vidéo,-52,175,,57
N/A,USER_9656,Appel Vidéo,-59,230,64,16
2024-07-17 05:59:59,USER_7483,IoT,-85,130,84,150
2024-10-21 03:26:37,USER_3982,Navigation,-87,98,4,70
2023-03-26 17:32:04,USER_6998,IoT,-92,10,34,5
2022-04-04 15:21:50,USER_5434,Appel Vidéo,-60,31,93,73
2024-11-13 16:00:15,USER_9983,Appel Vidéo,-44,70,9999,31
2022-03-14 14:15:13,USER_4354,Navigation,-100,168,98,7
2024-11-03 09:26:14,USER_4485,Appel Vidéo,-82,206,50,-50
2023-11-18 06:30:40,USER_4148,Appel Vidéo,-78,103,-5,58
2024-09-11 18:28:36,USER_9953,Navigation,-44,68,88,58
2022-02-22 08:55:37,USER_2484,IoT,-94,-10,24,98
2023-05-17 20:29:48,Duplicate,Inconnu,-60,47,38,1
2024-03-31 10:55:21,USER_3103,,-115,220,92,85
2022-09-05 19:00:18,USER_5474,Appel Vidéo,Invalid,215,39,150
2024-03-12 05:37:33,USER_7434,Navigation,-83,22,-5,99
2023-08-28 14:29:29,USER_7880,Streaming,-105,213,68,32
2024-11-30 06:47:08,USER_1166,Streaming,-200,217,19,32
2022-12-02 22:00:51,123ABC,Navigation,-51,89,86,86
2022-04-27 06:14:10,USER_7023,Appel Vidéo,-85,140,67,Corrupt
Invalid,USER_1182,Appel Vidéo,-114,102,9999,57
2022-05-28 01:09:39,USER_8796,Streaming,-80,,49,68
2022-08-17 16:29:47,USER_9767,IoT,-43,165,85,6
2024-10-13 18:57:34,USER_8018,Appel Vidéo,-85,87,85,76
2023-05-24 09:11:20,USER_2683,Streaming,-104,138,16,65
2024-03-11 18:37:07,USER_1655,Inconnu,-101,89,48,14
2023-10-12 18:54:40,USER_3382,,-58,147,15,55
2023-06-13 20:01:15,USER_3139,Streaming,-91,153,18,47
2023-03-28 12:57:02,USER_8716,Streaming,-49,165,41,98
2024-10-25 20:00:19,USER_7160,Inconnu,-58,,64,87
2024-09-19 00:06:35,USER_8793,Streaming,Invalid,140,19,63
2023-01-23 03:38:23,USER_9590,,-97,12,73,78
2023-11-23 00:37:13,USER_1985,Appel Vidéo,-68,234,62,-50
2024-11-02 04:33:49,USER_6676,,-96,262,48,-50
2022-06-27 11:33:22,USER_3779,Navigation,-64,Error,56,34
2022-05-16 07:57:59,USER_7669,Inconnu,-60,28,86,Corrupt
2024-01-13 14:38:42,USER_4862,Streaming,-81,,81,85
2022-04-01 23:37:26,USER_8121,Navigation,-100,85,13,85
2023-02-23 02:24:44,USER_9247,,-72,110,24,27
2023-10-17 13:09:37,USER_7138,Navigation,-89,296,34,150
2022-04-26 17:45:57,USER_9403,Inconnu,Invalid,296,47,100
2022-05-05 18:23:23,USER_6475,Streaming,,119,52,74
,123ABC,Navigation,-81,259,24,21
2024-06-09 19:27:36,USER_5774,IoT,-77,147,37,66
N/A,USER_8052,Navigation,-46,167,2,38
2022-09-19 07:22:31,USER_8832,Appel Vidéo,-95,196,86,
2024-09-22 05:59:46,Duplicate,,-42,5000,54,67
2023-02-13 22:26:03,USER_6598,IoT,-65,130,-5,-50
2022-03-19 23:37:00,123ABC,Navigation,-74,144,10,72
2023-06-13 01:41:20,USER_5158,,-56,157,60,83
2024-10-07 09:59:32,USER_8077,IoT,-67,57,37,Corrupt
2023-04-09 20:19:46,USER_8143,Inconnu,-111,9,78,69
2022-12-27 11:04:43,USER_9208,IoT,-67,291,79,91
2023-05-18 20:50:42,USER_2667,Inconnu,999,107,9,14
N/A,Duplicate,Streaming,-92,10,N/A,-50
2024-08-20 16:28:17,123ABC,Appel Vidéo,-120,246,81,70
2023-09-03 18:27:34,,Navigation,-50,Error,84,56
2023-03-15 21:39:16,USER_9401,IoT,-90,52,52,Corrupt
2023-01-10 20:43:14,USER_7298,Navigation,-65,263,9999,60
2022-11-12 17:47:49,USER_4207,Navigation,-83,157,9,77
2023-05-04 03:47:51,USER_4244,Navigation,-200,279,21,18
2022-05-21 12:31:18,USER_8532,Navigation,-41,257,91,58
2024-09-23 00:40:54,USER_1667,,-69,187,14,1
2023-12-21 15:17:37,USER_2472,Appel Vidéo,-75,237,27,14
2022-12-05 20:54:42,,Streaming,-200,Error,95,55
2023-09-05 01:26:54,,Streaming,-50,-10,99,82
2024-10-31 06:13:11,,Streaming,-116,75,92,15
2023-10-23 02:48:57,USER_7062,Navigation,-59,110,96,150
2023-12-03 05:28:06,USER_1089,,,289,,49
2024-10-03 04:39:17,USER_5344,Streaming,-101,169,36,Corrupt
2023-05-14 03:55:29,USER_4955,Appel Vidéo,-45,,95,31
2023-07-18 11:14:17,USER_4187,IoT,-117,234,38,64
2024-06-28 19:02:16,USER_9110,Appel Vidéo,-83,5000,86,60
2022-08-16 00:06:48,USER_2417,Navigation,-78,245,44,70
2023-12-11 02:21:45,USER_2356,Appel Vidéo,-62,70,8,55
2023-09-07 16:28:06,USER_2510,Navigation,-120,5000,84,30
2023-06-01 17:33:18,USER_4291,Streaming,-116,51,3,33
2023-06-11 13:18:20,USER_8810,,-59,54,9999,78
2024-06-22 07:33:55,123ABC,Navigation,Invalid,220,28,56
2022-06-03 15:02:39,USER_2667,,-120,147,31,31
2023-02-27 02:29:28,USER_2975,Appel Vidéo,Invalid,Error,54,11
2023-11-24 00:56:43,USER_3733,Navigation,-200,217,18,37
2024-08-28 23:24:37,USER_5435,Inconnu,-88,85,59,54
2022-02-11 03:23:11,USER_5674,Inconnu,-117,89,94,11
2023-05-16 08:12:33,USER_9112,,-44,76,7,69
2022-06-22 19:37:59,USER_7872,,-56,276,,85
N/A,123ABC,Streaming,-94,276,,48
2023-07-04 05:43:37,USER_2565,Navigation,-53,200,-5,
2023-12-04 22:28:18,USER_7447,IoT,-81,278,37,82
2022-12-29 18:38:27,USER_6935,Streaming,-44,5000,86,51
2023-12-26 05:07:15,USER_7929,Appel Vidéo,-113,134,29,20
2024-02-22 13:25:32,USER_8783,,-71,249,88,82
2022-12-20 21:39:54,USER_1894,,-120,32,17,32
2022-04-30 06:14:13,USER_5062,Streaming,-77,43,70,28
2023-09-12 20:06:35,USER_7121,,-105,177,38,0
N/A,USER_1254,,Invalid,110,89,57
2023-03-13 10:31:11,USER_7034,,-116,171,9999,60
2023-06-22 22:53:26,Duplicate,Appel Vidéo,-48,,12,82
2022-11-22 21:10:53,USER_7264,Navigation,-110,284,-5,99
2023-04-01 02:48:49,USER_7170,,-95,260,12,150
2022-07-13 17:43:53,USER_7127,Appel Vidéo,-87,267,38,
2022-11-19 08:13:57,USER_4135,IoT,-43,276,72,7
Invalid,USER_6857,Navigation,-60,115,60,-50
2023-09-30 01:47:06,USER_3802,Streaming,-113,165,9,20
2023-03-28 19:31:13,USER_9494,Navigation,-70,204,9999,Corrupt
2022-10-19 09:19:58,Duplicate,,-51,179,78,76
,USER_1014,Navigation,,222,91,90
2022-10-28 19:19:49,USER_9792,Inconnu,Invalid,286,18,10
2022-05-30 04:28:40,USER_6421,Navigation,-119,Error,79,150
2023-04-01 21:41:05,USER_7681,Inconnu,-78,217,22,68
2022-01-08 11:00:47,USER_1957,,-89,188,7,89
2023-12-31 00:18:09,123ABC,Streaming,-47,Error,89,72
2023-07-20 10:57:31,,IoT,-86,145,25,8
2024-11-26 14:44:36,USER_9574,Appel Vidéo,Invalid,,9999,
2023-01-05 18:33:26,USER_8324,Appel Vidéo,-120,28,86,64
2024-03-12 16:33:13,Duplicate,Streaming,-112,-10,13,29
2022-08-14 23:58:48,USER_8216,,-111,,80,93
2024-05-24 01:32:23,123ABC,,-43,244,N/A,96
2023-01-16 20:13:58,USER_7752,Navigation,Invalid,300,9999,49
2022-02-28 20:05:47,USER_7455,Inconnu,-92,80,69,-50
2024-11-05 01:54:22,USER_5105,,-40,Error,77,53
2022-03-28 13:49:24,USER_8312,Navigation,999,171,38,1
2024-04-08 22:28:54,USER_9926,Navigation,-200,33,89,57
2023-05-12 00:39:35,USER_9677,Streaming,-88,30,N/A,55
2024-11-30 09:12:11,USER_5409,Streaming,-99,140,100,54
2024-09-06 20:00:55,USER_1652,IoT,-49,244,92,19
2024-07-05 08:46:12,USER_7523,,999,237,90,78
2022-01-06 00:07:50,USER_8522,Streaming,-81,204,84,-50
2022-06-02 13:53:13,USER_6712,IoT,-44,199,51,3
2024-08-06 10:22:57,USER_1026,Navigation,-44,218,37,86
2022-07-04 18:02:31,USER_5724,Streaming,-88,Error,6,59
2024-07-07 10:09:24,USER_1624,,-99,290,36,4
2022-01-25 07:06:38,USER_4278,Inconnu,-200,16,,89
2023-08-09 01:37:20,USER_8419,Navigation,,270,15,150
2024-07-02 03:59:39,USER_9589,Navigation,-94,162,53,7
2022-05-22 02:39:16,USER_4439,IoT,-48,,9999,82
2022-06-16 07:54:28,USER_6260,Streaming,-106,231,30,29
2023-02-23 12:32:12,USER_9596,Appel Vidéo,-93,263,90,30
2024-01-08 03:06:57,Duplicate,Navigation,-69,93,28,
2023-07-30 22:15:30,USER_9063,Navigation,-51,Error,35,84
2023-03-17 18:47:45,USER_8472,,-87,158,6,59
2023-07-29 13:49:29,USER_4526,Inconnu,-120,80,69,21
2023-11-16 21:42:23,USER_9530,Appel Vidéo,-95,41,98,86
N/A,123ABC,Appel Vidéo,-43,281,16,39
2024-04-04 06:53:30,USER_3292,,-55,140,38,70
2022-07-20 00:07:09,USER_5359,,-69,224,-5,44
2022-01-13 15:22:26,USER_1336,IoT,-53,74,7,
2024-10-05 06:10:08,USER_4339,Appel Vidéo,,271,6,95
2022-04-17 21:31:15,USER_5591,IoT,,91,98,Corrupt
2023-03-25 20:52:01,USER_5613,Appel Vidéo,-51,212,45,99
2023-03-30 05:02:18,USER_2649,Navigation,-41,98,94,51
2023-03-01 10:23:05,USER_7857,Appel Vidéo,-63,101,56,
2022-01-24 09:45:43,USER_8230,Inconnu,-62,267,N/A,87
2023-04-21 13:40:12,USER_2379,,-102,,91,57
2024-07-22 01:25:13,USER_8764,Navigation,-91,46,16,58
2022-03-23 18:27:10,USER_1661,Inconnu,-57,152,33,34
2023-03-18 00:02:19,USER_3752,IoT,-55,277,93,58
2024-02-12 10:33:29,USER_8285,IoT,-59,269,100,11
2022-03-09 14:32:35,USER_1311,Navigation,-85,97,98,31
2021-12-28 18:31:55,USER_8865,Inconnu,-55,298,18,37
2023-12-30 05:06:39,Duplicate,,-104,114,9999,37
2023-10-26 10:13:20,USER_1847,,-200,163,93,40
2022-04-25 09:36:39,USER_2586,,-104,25,5,64
2024-07-24 21:51:02,USER_4031,Inconnu,-83,148,N/A,150
2023-04-17 18:05:43,USER_4021,IoT,-72,262,77,5
2023-05-22 03:42:31,USER_8981,Appel Vidéo,-45,157,80,73
2024-09-14 06:49:41,123ABC,Inconnu,-98,112,82,18
2024-10-29 01:00:24,USER_3055,Inconnu,,251,92,82
2024-07-14 05:53:01,USER_4957,Inconnu,-52,160,N/A,55
2024-07-01 00:41:22,USER_5610,Streaming,-50,198,38,32
2023-02-23 11:42:43,USER_3431,Appel Vidéo,-85,5000,23,150
2024-07-24 02:33:31,USER_7942,Inconnu,-112,196,20,150
2023-10-28 19:31:54,USER_4486,,-52,185,9,
2022-01-12 08:42:40,USER_9224,,-50,197,98,35
2022-06-02 04:48:32,USER_9753,,-63,97,72,87
2024-12-04 13:08:01,USER_8286,Appel Vidéo,-200,222,62,Corrupt
2024-11-26 02:12:48,USER_5215,Navigation,-113,110,24,69
2022-11-13 14:44:45,USER_5959,IoT,-50,93,63,46
,USER_9339,Streaming,-58,179,2,0
2023-06-06 12:51:38,USER_6923,Streaming,-83,54,20,53
2023-05-15 02:52:52,USER_6645,Streaming,-63,66,75,39
2022-10-03 19:48:36,USER_3999,IoT,-49,234,24,57
2022-09-01 04:57:06,USER_1191,Appel Vidéo,-89,189,3,72
2022-06-04 04:57:48,USER_3522,Streaming,-48,103,9999,150
2023-11-26 10:24:07,USER_2034,Appel Vidéo,-74,276,54,25
2024-03-04 17:36:14,USER_4450,Streaming,-86,45,-5,17
2022-02-18 19:03:29,USER_9915,Streaming,,Error,,33
2022-11-03 04:52:37,USER_5886,Appel Vidéo,-80,129,58,94
2023-03-22 01:35:02,USER_6745,IoT,-57,68,20,60
2022-12-05 12:38:27,USER_7340,Inconnu,-58,-10,70,74
2022-02-04 18:37:41,USER_7478,Navigation,-116,141,88,12
2024-05-28 13:09:19,USER_3562,Streaming,-76,144,77,32
2021-12-16 10:04:20,USER_1863,,-61,204,9999,5
2024-10-20 08:08:49,USER_5698,Navigation,-71,63,,34
2024-11-18 05:41:09,USER_8231,IoT,-71,178,N/A,-50
2023-01-04 06:20:51,USER_5673,Inconnu,-81,26,19,89
Invalid,USER_7154,Appel Vidéo,-92,17,,67
2024-02-01 21:41:53,USER_7978,Appel Vidéo,-92,78,76,52
2023-11-21 09:37:53,USER_1264,Inconnu,-74,23,70,29
2024-05-13 07:53:27,USER_8114,Navigation,-83,53,30,
2024-01-29 04:42:38,USER_7813,Navigation,-101,160,98,88
2023-04-30 18:23:30,USER_8279,Inconnu,-108,60,38,36
2022-02-06 10:24:17,USER_7696,IoT,-90,69,5,97
2022-06-12 08:38:15,USER_9676,,-200,161,18,54
2024-12-04 09:52:02,USER_2148,Streaming,-102,95,15,21
2023-10-28 17:07:13,USER_5153,IoT,-67,60,68,47
2024-08-26 15:30:52,Duplicate,Inconnu,-114,12,15,39
2024-02-07 16:59:00,USER_2181,Navigation,-70,65,N/A,92
2022-11-16 10:24:44,USER_6704,IoT,-88,27,N/A,87
Invalid,USER_6235,Navigation,-43,265,42,39
2023-11-17 09:47:52,USER_1417,Appel Vidéo,-65,46,28,17
2024-12-09 01:33:15,USER_6728,Navigation,-95,58,83,81
2024-09-13 01:48:11,USER_9737,Inconnu,-78,20,29,68
2023-06-13 01:01:31,USER_6346,,-70,,N/A,41
2022-03-03 00:03:21,USER_2916,Inconnu,Invalid,-10,63,-50
2023-11-23 10:36:22,,,-83,Error,25,28
2023-08-21 11:46:30,USER_3395,Streaming,-76,-10,21,38
2023-11-15 12:32:42,USER_8487,IoT,-86,107,67,22
2022-02-24 21:18:42,USER_5735,Streaming,-79,174,42,35
2022-11-30 08:54:09,USER_1218,,-117,9,20,1
2024-11-27 05:29:40,123ABC,Navigation,-117,,9999,-50
2023-10-05 12:39:52,USER_9644,Appel Vidéo,-52,124,71,150
2022-11-05 05:13:03,Duplicate,Streaming,-103,5000,33,76
2022-05-22 00:11:04,USER_2290,Navigation,-67,149,54,43
2024-08-05 23:10:25,USER_3751,,-80,220,58,40
2024-02-10 03:14:47,USER_9631,Navigation,-70,294,-5,84
2023-12-18 09:08:02,USER_1366,IoT,-46,227,9999,100
2024-04-21 17:21:31,USER_8083,Navigation,-61,98,52,51
2022-11-15 20:52:32,USER_7044,,-63,232,40,
2024-09-18 12:31:52,USER_1098,Inconnu,-118,51,86,79
2024-05-24 01:46:56,USER_9242,Navigation,Invalid,203,77,8
2023-02-16 08:16:58,USER_7707,Streaming,Invalid,41,N/A,22
2022-09-29 06:19:47,USER_3102,Streaming,-89,284,34,150
2023-03-16 17:33:58,USER_5777,IoT,-92,67,37,23
2022-05-24 20:14:13,123ABC,Appel Vidéo,-50,238,33,-50
2023-09-25 06:39:50,USER_7731,IoT,-81,284,72,-50
2024-02-07 04:46:23,USER_8742,,-120,165,60,150
2024-03-23 01:05:41,USER_9075,Navigation,-72,58,40,72
2024-04-14 08:11:26,USER_6956,Appel Vidéo,-53,75,44,54
2022-10-21 11:55:18,USER_9366,,-119,23,84,46
2023-09-27 21:26:53,USER_4991,IoT,-77,5000,46,23
2023-11-18 07:18:34,USER_7880,Navigation,-55,Error,34,98
2024-09-08 09:36:08,USER_3198,Navigation,-78,27,51,40
2022-11-04 01:56:31,,IoT,-50,68,3,36
2024-12-07 09:57:44,USER_4748,IoT,-58,-10,38,150
2023-05-05 13:59:13,USER_4123,IoT,-86,5000,75,
2023-05-28 14:16:01,USER_1196,Inconnu,-112,99,N/A,27
2023-09-21 20:26:40,USER_2289,Navigation,-53,276,,3
2024-12-05 09:35:05,USER_9420,IoT,-53,180,71,66
2023-07-22 12:40:56,USER_9149,Navigation,Invalid,121,40,Corrupt
2024-12-07 20:46:52,USER_1667,Navigation,-63,44,9999,-50
2024-11-09 05:39:16,USER_7912,Navigation,-101,121,38,
2022-08-24 01:42:29,USER_2952,Streaming,-41,77,84,46
2022-09-21 11:29:37,USER_5671,Appel Vidéo,-46,137,N/A,-50
2024-03-30 07:55:35,123ABC,,-70,211,-5,63
2023-09-20 16:42:58,USER_8239,Streaming,-80,-10,80,28
2023-06-24 01:48:57,USER_4230,Appel Vidéo,-44,5000,7,44
2023-07-03 04:20:27,USER_1770,Streaming,-60,66,5,80
2022-12-31 15:58:07,USER_2964,Inconnu,-96,177,72,39
2023-10-18 10:14:39,USER_9234,Inconnu,-63,-10,82,66
2024-04-22 12:00:53,USER_5401,IoT,-114,248,83,8
2024-12-10 03:30:03,USER_4535,,-72,170,57,89
2023-07-15 19:37:05,123ABC,Appel Vidéo,-44,21,46,61
2024-01-04 12:27:38,Duplicate,IoT,-50,161,9999,23
Invalid,USER_5368,Navigation,-58,251,32,95
2023-05-09 03:34:34,USER_9306,Appel Vidéo,-71,7,65,10
2023-08-25 06:47:18,USER_3670,Navigation,Invalid,38,96,
Invalid,123ABC,Streaming,-78,32,16,19
2022-04-20 19:24:37,USER_2751,Inconnu,-77,-10,76,42
2022-02-08 18:41:42,123ABC,Streaming,-59,185,6,41
2022-08-31 20:58:08,USER_2410,Streaming,999,256,88,41
2024-09-07 17:48:39,USER_4874,Appel Vidéo,-93,257,47,-50
Invalid,USER_6693,Streaming,999,276,47,42
2024-11-13 04:04:50,USER_4671,Navigation,-55,263,23,-50
2022-03-23 13:45:47,USER_4307,,-98,155,46,33
2024-01-29 23:39:58,USER_3653,Streaming,-200,232,71,16
2023-12-09 09:18:50,USER_8885,,-84,-10,9,2
2022-02-05 15:37:01,USER_9790,IoT,-90,216,55,32
2024-02-05 16:17:34,USER_4726,Navigation,-66,197,41,97
2022-12-06 20:04:40,USER_7195,Streaming,-65,5000,54,54
2023-04-10 18:43:32,USER_6311,Streaming,-73,198,86,31
2023-09-26 05:27:40,USER_3532,Streaming,Invalid,-10,17,38
2023-05-22 09:41:22,USER_4635,Appel Vidéo,-71,124,41,83
2024-08-21 21:36:29,USER_4042,Navigation,-104,287,59,82
2024-04-08 19:00:43,USER_9775,IoT,-91,-10,,40
2023-12-08 15:06:57,USER_7265,Appel Vidéo,-78,-10,,87
2022-12-16 22:20:25,USER_1908,Navigation,-83,127,27,Corrupt
2022-03-13 21:27:58,USER_5068,Streaming,-44,163,77,Corrupt
,USER_6795,IoT,-60,88,55,37
2023-06-15 02:41:58,USER_6189,IoT,-58,292,,25
2024-02-04 19:32:36,USER_8719,Appel Vidéo,-113,232,24,46
Invalid,USER_5131,IoT,-63,43,82,88
2022-03-15 04:56:42,USER_5648,Appel Vidéo,-54,59,18,25
2024-02-29 14:26:24,USER_8532,,-85,-10,84,58
2023-08-30 22:14:40,USER_9328,Navigation,-63,54,72,42
2024-08-05 21:24:52,USER_3481,Inconnu,-86,237,52,6
2022-06-19 15:24:35,USER_1624,Navigation,-45,261,28,21
2024-03-19 11:54:45,USER_2619,,-117,213,40,33
2024-10-30 21:48:50,USER_5468,Inconnu,-105,Error,10,96
2022-12-27 12:55:52,,Streaming,-86,271,35,35
2024-08-03 10:27:48,USER_5427,IoT,-51,235,19,4
2023-01-28 18:53:01,USER_6557,Inconnu,-200,66,,52
2022-12-30 05:31:37,USER_5521,,-50,-10,25,93
2024-04-29 19:26:47,USER_9703,,-77,-10,46,88
2024-03-28 18:55:42,USER_2921,,-111,169,54,16
2023-01-17 01:40:30,USER_1084,Appel Vidéo,-87,24,5,93
,USER_3546,Appel Vidéo,-77,172,56,47
2023-03-18 10:37:34,USER_4863,Streaming,-106,42,100,58
2022-08-26 09:18:25,USER_3593,Appel Vidéo,-44,12,50,20
2024-09-24 15:42:19,USER_7259,IoT,-106,262,62,53
2024-10-16 15:20:45,,Navigation,-112,Error,52,57
2022-06-27 09:20:42,USER_8029,Appel Vidéo,-95,191,6,-50
2023-12-25 20:11:02,USER_5979,IoT,-99,281,31,13
2023-01-09 17:02:48,USER_3160,Streaming,-71,166,-5,98
2024-11-29 08:11:34,USER_2353,Appel Vidéo,Invalid,118,55,74
2023-04-06 06:26:41,USER_2854,,-115,5,68,5
2022-10-11 10:29:36,USER_9428,,-91,201,72,43
2023-05-17 11:41:56,USER_7200,IoT,999,287,96,63
2023-01-15 01:52:00,USER_9034,Appel Vidéo,-110,5000,16,57
2024-12-05 19:52:09,USER_3508,Navigation,-75,92,72,46
2024-09-29 22:51:53,USER_9173,Streaming,-109,182,90,6
2022-07-21 18:56:42,USER_8238,Streaming,,98,34,57
2023-12-28 08:45:00,USER_8825,,-77,134,14,55
2024-09-16 13:36:15,USER_8101,Appel Vidéo,-120,53,2,76
2022-01-29 23:00:02,USER_3985,IoT,-109,-10,55,87
2022-10-11 04:21:39,Duplicate,,-86,212,55,4
2024-09-25 10:20:50,USER_9022,Streaming,-91,106,86,26
2022-02-26 11:05:42,USER_4598,IoT,999,159,,1
2024-06-28 15:39:31,USER_3421,Streaming,-61,90,85,80
2024-08-28 03:51:19,USER_8671,Streaming,-61,204,64,80
2022-11-27 18:56:41,USER_5427,Inconnu,-45,-10,96,-50
2022-08-17 08:30:08,USER_6598,Streaming,999,254,17,98
2022-08-03 01:22:50,USER_2550,Streaming,-69,153,N/A,46
2022-01-01 20:42:24,USER_2117,Inconnu,-87,142,23,19
2024-03-17 22:36:59,USER_2856,Appel Vidéo,-114,154,58,84
2024-11-13 17:17:09,USER_4397,Appel Vidéo,-109,243,,13
2023-05-18 06:42:30,USER_8986,,Invalid,38,29,Corrupt
2024-06-20 10:07:50,USER_7456,IoT,-96,5000,8,18
2023-09-11 00:57:12,USER_8226,Appel Vidéo,-88,11,25,98
2023-05-12 18:50:13,USER_4787,IoT,-102,205,N/A,86
2023-07-06 17:48:43,USER_1127,IoT,,279,14,43
2024-03-14 23:37:19,,Navigation,-70,11,28,18
2024-03-25 09:41:25,USER_6104,Navigation,-45,261,75,17
2022-10-29 17:24:58,USER_3588,Appel Vidéo,-55,150,-5,-50
2022-12-01 14:17:01,USER_3155,IoT,-106,286,75,73
2022-09-07 21:33:33,USER_6032,IoT,-55,104,8,39
2024-10-16 12:47:56,USER_2101,,-64,42,84,39
2024-05-31 22:24:39,USER_3808,Streaming,-78,84,-5,76
2023-04-17 06:17:05,123ABC,Inconnu,-107,37,79,78
2024-07-14 19:52:28,USER_5037,Inconnu,-100,138,64,8
2023-02-10 05:14:34,USER_9092,,-92,74,-5,83
2024-06-02 15:17:31,USER_3393,Streaming,-67,87,62,87
2023-08-25 17:53:03,USER_5321,Inconnu,-72,237,49,16
2024-05-24 00:21:56,USER_9949,Inconnu,999,9,N/A,
2022-06-04 03:49:15,USER_7155,Navigation,,-10,99,95
2023-03-05 17:44:46,USER_2947,IoT,-62,155,-5,5
2024-02-07 15:42:10,USER_4384,Inconnu,-50,72,61,32
2024-10-19 13:00:07,USER_2640,Navigation,-88,199,21,
2023-10-31 11:50:52,USER_2258,Appel Vidéo,-68,71,20,
2022-01-17 07:01:52,USER_4794,Streaming,-83,5000,47,36
2024-09-22 15:10:10,USER_3956,Streaming,Invalid,101,38,86
2022-04-21 15:43:34,USER_1452,IoT,999,10,64,53
2024-04-18 17:52:49,USER_6218,Inconnu,-98,83,22,34
2024-07-20 03:42:26,USER_7958,,Invalid,55,63,51
2024-09-10 18:19:49,USER_9800,Inconnu,-93,251,31,20
2022-01-01 00:24:34,USER_4992,IoT,-60,175,79,97
2022-08-23 15:20:27,USER_3514,Streaming,-90,40,15,Corrupt
2023-03-09 09:59:03,Duplicate,Streaming,-200,236,9999,13
2023-03-16 23:53:08,USER_7713,IoT,999,182,38,11
2023-12-05 21:42:07,USER_1546,Inconnu,-86,131,20,91
2024-10-27 06:28:11,USER_3406,Inconnu,-99,183,80,38
2022-11-24 10:59:16,USER_2639,IoT,-74,295,,60
N/A,USER_2201,Inconnu,999,146,55,51
2022-08-04 23:09:04,USER_5529,Inconnu,-50,158,92,51
2023-05-06 16:32:01,USER_1816,,-82,27,6,
2023-06-08 08:18:49,USER_9738,Navigation,-106,246,41,86
