Date,Id_utilisateur,Emplacement,Type_d'application,Force_du_signal,Latence,Satisfaction_des_utilisateurs,Vitesse_de_téléchargement,Débit_montant,Allocation_des_ressources,puissance_du_signal,inverse_latence,Performance_réseaux
2021-08-22 05:14:33,Q7FGDIYU,"Chicago, IL",Jeux en Ligne,-37.81941758689639,142.1389406499354,4.0,0.6976508977075799,0.645045286889867,0.7477821564411147,0.08663788240064957,0.019566188845604664,0.2760610646717762
2019-10-06 10:55:57,ML3RU03G,"Phoenix, AZ",Réseaux Sociaux,-69.88609622399437,103.01118439739844,5.0,0.47486715148397984,0.8529509491862389,0.5319185187683174,0.4432280069807627,0.033711641955071175,0.25508734073769856
2022-07-29 10:06:42,B26J71IT,"Chicago, IL",Streaming Musical,-111.37032607343625,227.5372737156668,3.0,0.4872725894519621,0.4699535521814628,0.6289186172515032,0.904543843819837,0.005589215305375504,0.19370848401655383
2019-06-25 08:12:57,QTJ4VRDG,"Philadelphia, PA",Streaming Vidéo,-101.78481540564944,173.20136109792654,1.0,0.34612542878322133,0.3361376901838414,0.6270543667315022,0.7979503770666043,0.012887360327609884,0.14017385080528402
,DDE0SW8T,"New York, NY",Téléchargement de Fichiers,-86.88589461896132,251.3254794697861,3.0,0.6583753133706212,0.5831734866893641,0.7550548802755471,0.6322703551485265,0.0033872930029223425,0.2529166745967905
2020-08-24 10:16:48,0UJO3HIQ,"Dallas, TX",Visioconférence,-36.26081985173607,148.3758396438783,3.0,0.4281897036621052,0.5940358555985178,0.7021938315005072,0.0693058547578454,0.018000801492507237,0.20065300462843078
2022-06-11 18:42:09,YKJ7PXNB,"Chicago, IL",Réseaux Sociaux,-44.62185511902791,69.39691866513294,4.0,0.3594211164357108,0.45335562695389475,0.5737618035488641,0.16228282444416203,0.05860184473890544,0.17250908433673828
2021-04-01 06:37:57,E1QNSHY1,"Phoenix, AZ",Téléchargement de Fichiers,-69.33779685355105,181.91872542980255,2.0,0.35424579846915916,0.3630140217410552,0.6566765479050357,0.4371307699383399,0.011422872163711843,0.14586927091937602
2019-11-06 09:30:35,OAZ72VZ3,"Chicago, IL",Streaming Musical,-88.3915604239231,245.15710596594167,3.0,0.45032115825608715,0.6198799283454631,0.7513401262729845,0.6490137654356832,0.0039172236436883015,0.20654158472676332
2022-02-21 13:51:42,2OGZKYOU,"Los Angeles, CA",Visioconférence,-59.96656600989846,87.57182851776298,5.0,0.7985699403364065,0.4461662152047091,0.7950781118856257,0.33292015268591657,0.04277125718760438,0.2772602316617091
2020-11-28 05:52:03,49GWJZ8E,"Dallas, TX",Streaming Vidéo,-105.87787611211073,203.88913097392447,1.0,0.4867669179942579,0.3410890111767533,0.45221741655192205,0.8434663172657382,0.008287450403207417,0.17492694377587933
2022-11-23 04:11:37,1Y7PVMTB,"Phoenix, AZ",Visioconférence,-101.05419351196626,230.5922992862489,1.0,0.5822106160880518,0.27456703025733603,0.7734587115802796,0.7898256643379207,0.005281005200201281,0.18805795986066368
2022-05-25 07:47:36,2A9UYZNF,"New York, NY",Réseaux Sociaux,-109.57870633182056,170.4710083829624,4.0,0.5878379437221879,0.17184416491563856,0.6027898684323668,0.8846205485483456,0.013376853115528251,0.17608032394677484
2023-06-17 02:18:21,Q7W5SCNG,"New York, NY",Téléchargement de Fichiers,-91.05409326983224,126.93992640760251,4.0,0.45868508939512825,0.3372368948594837,0.4898363767582713,0.6786218495770506,0.02402514784933747,0.171263093540039
2022-02-22 21:10:19,X15B9OYR,"Houston, TX",Streaming Vidéo,-106.43544726669408,220.68615048990367,1.0,0.21390912283326893,0.1295556477224821,0.47934812720040176,0.8496666590512183,0.006311425348603343,0.07448848420384038
2023-10-05 13:19:38,RK6MHB4R,"Phoenix, AZ",Streaming Vidéo,-36.01959809818648,38.31799386972615,5.0,0.7286550512065421,0.8319869683320692,0.7624193633461497,0.0666234037275048,0.12046789761839884,0.3370787824560456
2023-07-02 20:22:18,22SCRT33,"Chicago, IL",Visioconférence,-66.3344435946656,197.700137035814,3.0,0.7876558462227652,0.8553290847808308,0.5538698761755183,0.4037326707817578,0.009100184324085159,0.3274883703538372
2023-09-07 19:47:40,VV9ONPXG,"San Diego, CA",Visioconférence,-58.96020085540823,129.1310375286762,3.0,0.6990210866529813,0.8692066627141378,0.5451785924998338,0.32172910044523984,0.023317585208015152,0.3109656673723698
2023-05-30 18:22:00,RJTGAE8J,"New York, NY",Navigation Web,-96.86656190777704,196.4089270918373,2.0,0.517164417755345,0.28964232993164934,0.21481871901379002,0.7432580702215192,0.009276202713328758,0.17505650460691585
2019-02-12 09:05:01,N8VQJ7Y9,"Chicago, IL",Jeux en Ligne,-106.63614870148002,229.3754011651217,1.0,0.24099737271629398,0.1034833105080539,0.6265099602149647,0.8518985131962538,0.005402789682313794,0.07712253717586004
2023-10-15 10:30:04,8UEDKO1J,"New York, NY",Streaming Musical,-72.80516589057623,121.38605366063894,4.0,0.7867693366535683,0.8966990277606883,0.23151786245067424,0.47568884983401105,0.025933059517916367,0.3376804532069744
2023-11-12 21:37:15,T5BQZTQZ,"Los Angeles, CA",Streaming Vidéo,-107.37417746025606,258.9191935537678,2.0,0.3764822584343149,0.37752859124848603,0.7382007225533737,0.8601055922646543,0.002769585537985994,0.15144224968034814
2023-05-25 20:16:47,HEYCNN4F,"San Antonio, TX",Réseaux Sociaux,-95.30039039438915,254.8815914656148,1.0,0.248553456222089,0.3324369909733592,0.18164801390350893,0.7258418201198733,0.0030934402158255166,0.1127772727554825
2019-03-27 19:07:08,TURG1NND,"San Diego, CA",Streaming Vidéo,-55.03045488926983,48.67517875001329,5.0,0.9555762468143156,0.8619931159870415,0.6756386859403883,0.2780292642541504,0.09107375588054466,0.39096146807177123
2023-10-30 21:49:08,HDVNRPDG,"Dallas, TX",Streaming Vidéo,-58.89733419487533,60.531467060779065,5.0,0.5018274964311518,0.7805823992842889,0.5146559304182713,0.3210300062058562,0.06977327683645053,0.2599875532095439
2020-07-30 23:20:38,YJJL1XW0,"Philadelphia, PA",Streaming Musical,-73.68938499221456,181.2976549975969,2.0,0.409020671522185,0.4102070829350581,0.43686718048871565,0.4855216049870362,0.01152255046694576,0.1666668679375414
2021-02-01 09:46:55,OK96BUG6,"San Antonio, TX",Jeux en Ligne,-37.36842362017754,91.69817679825984,4.0,0.9504444387541126,0.7343800401303162,0.4486934590426723,0.08162270772050345,0.04005124946796562,0.35778092807506695
2021-03-10 05:41:52,7KZO1XY9,"San Antonio, TX",Jeux en Ligne,-44.94048611241489,28.517443357249743,5.0,0.6768891645946882,0.406059661748008,0.9642908911153115,0.1658260871223085,0.16794306386221722,0.27211700637642755
2022-04-10 03:50:35,G1LYKJ3J,"Dallas, TX",Streaming Vidéo,-106.60078788393074,256.57954502338094,3.0,0.49361124150888996,0.2263615813593897,0.5646676579541069,0.8515052913575389,0.0029560060596031355,0.15809604909603173
2023-10-26 15:34:52,4T37JV0K,"Chicago, IL",Réseaux Sociaux,-114.83122744783768,261.41864657783725,2.0,0.13889029979314024,0.40314214082121075,0.634947263011398,0.9430300015608366,0.002574118493990165,0.09583742569496422
2020-03-21 06:13:21,E0EKOUEN,"New York, NY",Streaming Vidéo,-74.0464638576623,156.98135370667237,2.0,0.7371654655562597,0.7474416859348242,0.5556733978293528,0.4894924183835826,0.01604513437681895,0.3004189028734933
2019-05-14 00:42:59,KZH1DPF9,"Chicago, IL",Téléchargement de Fichiers,-31.18848824061816,144.56608380555792,4.0,0.5752405050549902,0.27339062762150984,0.3885064770552601,0.012900157691743741,0.01894095097479726,0.18955395815067336
2020-06-27 18:30:20,QYLDBTPR,"San Antonio, TX",Jeux en Ligne,-108.64293269228256,259.2136773598541,1.0,0.4638004532693683,0.20491540493746616,0.5520050433190158,0.8742144930139382,0.0027463598475827126,0.14737401401985767
2023-06-19 13:56:45,LWMA0DPT,"Phoenix, AZ",Téléchargement de Fichiers,-66.80501280193164,113.59657755822828,4.0,0.469011645707934,0.4246389331577775,0.6870953349875991,0.4089655274221843,0.028923282559518423,0.18817957204052974
2023-04-28 13:59:42,MCQSVZ0X,"San Diego, CA",Réseaux Sociaux,-55.25876258763349,54.26212652715167,5.0,0.7967795557910563,0.5892333750468917,0.39125862249834387,0.2805681075039752,0.07987680891604527,0.30754909743380915
2022-11-06 10:06:22,WDGRRMB1,"San Diego, CA",Réseaux Sociaux,-76.51406193270128,120.7551874292442,2.0,0.35092119941157196,0.31530522427767704,0.2824587829710414,0.5169327752396811,0.026160879632834633,0.1415663034027532
2022-03-19 09:45:07,ACYRAIL9,"Phoenix, AZ",Jeux en Ligne,-34.65191521154044,164.98526596355848,3.0,0.7078467806506686,0.5008384502321721,0.7898195397143676,0.05141440074797654,0.014409303271716873,0.2556897885154222
2021-02-21 08:47:46,N9G7KQIV,"Chicago, IL",Visioconférence,-103.75852406890644,161.0406367346378,2.0,0.5260675142522672,0.052177069502215616,0.605141032116133,0.8198985503115075,0.015195180893466078,0.14314223421176564
2023-11-11 18:31:30,6DZWLUX7,"San Diego, CA",Visioconférence,-41.70512177504946,143.23018233429102,2.0,0.6174946869573834,0.6849831414013344,0.4891914325677724,0.12984796212908029,0.01928246051543234,0.2619417580784041
2020-04-22 04:54:04,U2QOO0TO,"Chicago, IL",Visioconférence,-55.89466978250309,90.73424063070868,4.0,0.632499484784319,0.4288841507597316,0.8559071609615632,0.2876395672084924,0.04066451102296059,0.23262362156577965
2022-10-23 21:41:58,OYGDYH78,"San Antonio, TX",Visioconférence,-113.1318191207774,218.2690420063064,2.0,0.4049499919662996,0.3821407443212927,0.6077899293110244,0.9241321221166638,0.006577043833529871,0.16020287059815128
2022-11-25 10:02:40,4U0Z0W7H,"Phoenix, AZ",Streaming Musical,-67.70140396541575,99.73561904154036,4.0,0.5828228085008323,0.4917236974703961,0.43340700190029857,0.4189336391894415,0.03539928648046288,0.22831407836588322
2020-01-31 22:41:53,UY1JRSWN,"Dallas, TX",Jeux en Ligne,-101.55098993990566,260.3814695206487,2.0,0.6772782336832696,0.2860848149461153,0.5980184196373232,0.7953501747536929,0.002654774300795037,0.21289597423793347
2020-08-22 12:07:18,SR8WL8SG,"Chicago, IL",Streaming Musical,-90.57897917728056,155.14917210467468,3.0,0.1744327537789827,0.5259544547025834,0.7429959745620855,0.67333845258511,0.016443333555120457,0.1266121900389133
2023-09-11 03:10:13,HSUIFCO5,"New York, NY",Jeux en Ligne,-108.70825252043912,253.9663587763237,1.0,0.11672621458259708,0.5257517452496028,0.4656944161042824,0.8749408671396623,0.0031682823623494713,0.10883638602367704
2021-08-18 18:19:59,C3KX8F73,"Phoenix, AZ",Navigation Web,-68.47935083077749,180.0885131989093,3.0,0.6912071858020018,0.7909163673844194,0.598435472526807,0.4275846183811286,0.011718583116216773,0.29436889733721755
2020-12-04 11:44:06,XJWJJHHN,"Los Angeles, CA",Visioconférence,-60.8804430575052,96.88594111126623,3.0,0.3623257760178542,0.8997223508737083,0.6723437081714246,0.34308271220587827,0.03696032673792278,0.23477987832000047
2021-10-05 03:16:58,G7EJ12U4,"Phoenix, AZ",Jeux en Ligne,-31.8094397678954,100.77663651027486,3.0,0.6888731183421369,0.7376338949479594,0.767590496284814,0.019805306334541917,0.03485103824289727,0.29157612338845246
2020-01-04 03:35:14,NIURYILT,"San Diego, CA",Téléchargement de Fichiers,-66.09152963059978,85.3783656534736,4.0,0.7242550590602836,0.6502262516432799,0.2942273155291124,0.4010314019135729,0.04432417118682999,0.28967874530827037
2021-04-08 09:59:05,EEOP02B8,"San Jose, CA",Téléchargement de Fichiers,-86.14347167592058,129.2252378808221,2.0,0.29650087131727676,0.6736438569503997,0.31816391717569786,0.6240144115646545,0.023287703603086716,0.18099372227265081
2023-03-04 08:26:53,2QNEENPU,"Dallas, TX",Visioconférence,-48.77777304251762,63.08888607870345,5.0,0.5437957468277785,0.4879484649029714,0.5864932351465741,0.20849775386836,0.06622843220313163,0.22569831449317326
2022-02-06 12:36:09,WM1TFDZH,"Chicago, IL",Streaming Musical,-118.76500019666514,189.23685245194784,1.0,0.054112933855645744,0.013623425696217856,0.31012447690531225,0.9867746166626763,0.010297629482472613,0.018146154688962267
2022-08-13 20:52:00,YCS8CA16,"San Antonio, TX",Visioconférence,-52.61369098634013,108.57800041403628,2.0,0.47022790933037667,0.5974118009673094,0.4610187983130374,0.25115419711734344,0.031077070256836262,0.21493801504189963
2022-03-15 05:44:37,FJY7YMC9,"Dallas, TX",Streaming Musical,-36.67803848822162,87.1477227889767,5.0,0.9999525913471029,0.5149229924418021,0.2234681453651426,0.07394543864631853,0.04306541680479384,0.33799295090424447
2020-10-29 16:36:30,QPHRTW5K,"Dallas, TX",Réseaux Sociaux,-114.92186106231443,185.64463548370705,2.0,0.34450350169309124,0.46335145892550145,0.30798774491266234,0.944037871825268,0.010838886841354475,0.15833831597243664
2022-03-11 03:20:30,5A1MFK4V,"San Diego, CA",Téléchargement de Fichiers,-94.1228195253684,223.3647995440491,1.0,0.19008340269313326,0.48950300993397317,0.24629566813273385,0.7127469141073675,0.006023781308696005,0.12245224749055328
2019-11-15 04:49:22,0ZBRPCVR,"San Antonio, TX",Streaming Vidéo,-39.57602233211652,32.53350358315128,5.0,0.5233840515353241,0.6167190849986239,0.6086216403658589,0.10617180145802879,0.14502973608673364,0.259611309655308
2021-04-24 02:55:00,01YD5R0O,"Phoenix, AZ",Jeux en Ligne,-102.65630408651546,245.0177915016881,2.0,0.27941919098058793,0.21806972285186593,0.9270488799139872,0.8076415665033754,0.003929500395501929,0.10354763127180236
2023-04-28 15:25:01,DQDR0CBF,"San Jose, CA",Jeux en Ligne,-56.642156320522496,174.85053276044184,2.0,0.7155240676784927,0.6842049445752164,0.6723310606527229,0.29595181933571857,0.012599105242602819,0.2846615349165563
2022-09-05 06:16:31,KPBAM9KQ,"Dallas, TX",Téléchargement de Fichiers,-119.20047507111728,234.64638807253135,3.0,0.42498819885071915,0.3379426956597007,0.5875324779168721,0.9916172148465976,0.004884394929635435,0.15815955279404376
2023-04-19 23:22:24,APGOEZXX,"Chicago, IL",Visioconférence,-86.06456237311257,133.27315772826006,1.0,0.3151178049547228,0.1837247347935383,0.8974152988905334,0.623136918811592,0.022043557881810342,0.11184905092816402
2019-10-02 22:08:24,QZ4TQMBI,"San Jose, CA",Jeux en Ligne,-51.02942747208954,165.33521155994794,1.0,0.9085762267283835,0.7631816378285914,0.9495585772074623,0.2335367590811891,0.014341395514043741,0.3452066512348955
2020-05-20 05:40:40,MFP4IQN2,"Los Angeles, CA",Streaming Musical,-68.93865752751856,182.535710365062,4.0,0.8638658122514119,0.06302599139646067,0.5312564531779752,0.43269223286359315,0.011324521184268046,0.2282514820683891
2020-05-18 12:45:02,83AJEZM2,"Philadelphia, PA",Jeux en Ligne,-79.94796920022404,98.13811113713882,4.0,0.20928533837415983,0.5904771853420326,0.8748404646976023,0.5551187512236694,0.03626322812192602,0.14995871942532635
,5MRGVTK1,"Houston, TX",Navigation Web,-37.7700314788583,41.86572980559231,5.0,0.43149147510707314,0.7828846522836096,0.64496161635762,0.08608869554481297,0.10876160889815932,0.2524959688438495
2023-08-06 22:49:59,5SXO296P,"Dallas, TX",Jeux en Ligne,-102.21223033623578,268.2738093386696,1.0,0.22293208371047618,0.5629851793721483,0.548715355500303,0.8027033464985198,0.002056711486006873,0.140694975704943
2021-08-13 14:09:42,107R56RS,"San Antonio, TX",Streaming Musical,-60.58874867277169,115.34795853406214,5.0,0.7873859432672187,0.7731920540993776,0.2936280765533796,0.33983899188895395,0.028215768878443345,0.31987923615132213
2022-01-13 21:06:02,RWV3C0O5,"Los Angeles, CA",Streaming Musical,-43.83678490667795,120.75182168105668,5.0,0.8601088240272489,0.596965034582009,0.541039756030704,0.15355263171063283,0.026162101464867676,0.31111248656033047
2019-10-31 03:45:33,Y9KNNWQR,"San Jose, CA",Visioconférence,-35.98162014185962,153.78116597558804,2.0,0.8322019765398969,0.7222028864094954,0.8160687461829195,0.0662010785989452,0.016746837824929497,0.3205676365526309
2021-10-23 11:15:52,ZCXXTFP9,"New York, NY",Streaming Vidéo,-111.50225439064248,206.4576404032708,1.0,0.2901596795708902,0.2934937697395016,0.5871922599437759,0.9060109223283606,0.007964463059997554,0.11855510111864717
2023-03-23 23:48:58,RC1U4KOQ,"San Antonio, TX",Navigation Web,-66.27025395674869,148.490257766145,3.0,0.7088818550316255,0.6732721849545809,0.2960139574050058,0.4030188646766546,0.017973312233107986,0.2827046195593705
2020-07-13 20:30:12,1URB9HWV,"San Antonio, TX",Streaming Musical,-66.11880239327044,114.83985678578642,5.0,0.6820323417190965,0.8751106615606064,0.43861805266178155,0.4013346823982292,0.028418806963326108,0.3088793864046966
2020-04-15 02:27:32,YVVTPRQJ,"San Jose, CA",Streaming Musical,-95.60983057384358,211.47802942503404,1.0,0.2608613520120226,0.23929986371754738,0.44747025529733064,0.7292828784655321,0.007355808989524041,0.10294926980801877
2023-09-03 11:16:20,CPCKU31I,"San Diego, CA",Téléchargement de Fichiers,-113.44033979402178,151.32989067172997,1.0,0.028174262798562173,0.026869858581777165,0.46291556120190724,0.9275629553049964,0.017304400375456785,0.015400144580771314
2021-07-09 11:53:49,9N6X5AGL,"Los Angeles, CA",Streaming Vidéo,-39.76646304588277,116.42908762705429,5.0,0.4630921864300267,0.9600363633473551,0.9565272100966363,0.10828955361488823,0.027789645343151693,0.26672591244539784
2020-01-27 10:54:58,0W5NYL1S,"San Jose, CA",Streaming Musical,-55.12389491585964,180.1620999386956,2.0,0.5408065226838286,0.27984576996922056,0.5270175123981894,0.2790683425790219,0.011706577637328488,0.18010514057567234
2023-01-12 01:05:17,54ZOVMKS,"Philadelphia, PA",Jeux en Ligne,-100.05871491949428,212.92786059090332,3.0,0.6443802413558887,0.32660069203559094,0.9479961199682151,0.7787556736063035,0.007185377806051014,0.21188150859582355
2023-02-01 19:27:47,HN2W8C53,"New York, NY",Réseaux Sociaux,-77.81645220648676,88.41255372049515,1.0,0.37276190732083997,0.2563957873853268,0.15382593383294868,0.5314157067349249,0.04219647263528911,0.14219896309683128
2020-11-21 18:02:46,HNBXIBP5,"Phoenix, AZ",Téléchargement de Fichiers,-98.70546419135508,171.86117126025923,4.0,0.5705116913297866,0.4061190794848535,0.46277764703677393,0.7637071601261136,0.013125683695009587,0.20682720567892707
2021-07-14 13:21:35,V1GOK3ER,"San Diego, CA",Streaming Vidéo,-73.9478871410498,175.40499634688257,4.0,0.4604736923339149,0.6341289554701114,0.8809863058912791,0.4883962186787313,0.012503409308954418,0.21336361873123405
2023-10-24 19:40:25,XOCUWW20,"Los Angeles, CA",Streaming Vidéo,-58.752740428960834,113.72984307418898,4.0,0.6010084373150913,0.377212131623591,0.4448986718186061,0.3194220844879734,0.02886868069512406,0.2140510992460925
2023-06-10 15:50:07,A9UQ57NE,"Phoenix, AZ",Streaming Vidéo,-98.0809785551036,163.62618132252445,4.0,0.2925216353774103,0.522795311952853,0.909099659676215,0.7567627112372979,0.01467579143425243,0.15521865349584363
2020-09-16 23:36:44,9CSVKOAT,"Chicago, IL",Téléchargement de Fichiers,-115.70411539759672,238.13906551541555,1.0,0.31304715993459764,0.2838169818201692,0.2873456702970369,0.9527367512455063,0.0045535356385961075,0.12197272116632382
2021-03-16 07:13:52,XBQFHV29,"San Jose, CA",Visioconférence,-61.689469846758186,73.50824858168254,4.0,0.6651404148854341,0.5919785660610217,0.48426067901231695,0.3520793085429438,0.054335701436009326,0.2686658139895141
2022-09-04 13:31:58,UFW69CSG,"Los Angeles, CA",Réseaux Sociaux,-80.89111391293412,118.1701284841811,3.0,0.3167397906737982,0.5006321650949072,0.508598450416033,0.5656067750819705,0.02711980834039249,0.16105972451778375
2023-03-18 03:43:47,Y2IZ15LU,"Chicago, IL",Visioconférence,-78.25702712187109,115.69324931160828,4.0,0.418352112629105,0.735854113258327,0.8328109305802853,0.5363150187510443,0.028078808035097807,0.22198584715479974
2020-06-14 18:42:50,I1JN1AM6,"Los Angeles, CA",Streaming Musical,-77.77334629188077,198.46930762770975,3.0,0.704906013605977,0.24113530016204976,0.2720787089107768,0.5309363573257315,0.008996419125800896,0.21464590320725194
2021-12-13 14:11:10,5CDBMN8U,"San Antonio, TX",Navigation Web,-64.72260709385952,102.70288136294003,4.0,0.5558602269364623,0.6273326872872937,0.48260130781632704,0.3858086136902863,0.03386589727989818,0.2415314341471842
2022-08-15 22:55:57,I4THRRYE,"San Diego, CA",Streaming Vidéo,-119.20013818826996,219.47994815469025,2.0,0.43628075963923457,0.25773535413179227,0.49038554728832884,0.9916134686183757,0.00644324483367726,0.1493413042379968
2023-02-16 19:19:38,4HZL54YM,"Chicago, IL",Navigation Web,-118.35909610698094,234.1164628834312,1.0,0.21570907089034475,0.31606320417438044,0.509437027692412,0.9822608535896085,0.004935456963578975,0.102570612589638
2020-09-24 01:14:16,70TRHIGA,"Phoenix, AZ",Navigation Web,-110.56502055787509,217.4226476908955,1.0,0.07137823098329799,0.3796269076396566,0.28823132303725046,0.895588629050984,0.006671451049239042,0.07645645665408275
2023-02-12 09:19:59,DVEGX05K,"Los Angeles, CA",Streaming Vidéo,-111.60971739410422,186.06830660030585,2.0,0.36872488369977097,0.0,0.4736074143362293,0.9072059399423096,0.010773963117456195,0.0948747117043068
2020-04-07 07:55:06,OXXJO1SV,"Philadelphia, PA",Jeux en Ligne,-84.28473691208256,209.2709216936582,2.0,0.7849895065076828,0.7602980960099535,0.5756921087691254,0.6033447791247178,0.0076197936939293165,0.31219703945189603
2023-08-30 21:42:18,E94JH3AL,"Philadelphia, PA",Streaming Musical,-104.70081584113646,251.75636338662184,3.0,0.4087083769724649,0.20155683044810174,0.5220723266892726,0.8303770892413731,0.003351245707847502,0.13324843023729338
2020-10-01 03:25:26,5UL6GZRM,"San Diego, CA",Visioconférence,-62.35948067622211,163.9687320034931,2.0,0.30733170443033414,0.5960019844912179,0.5147022776132735,0.359530009872272,0.014608207981434685,0.16988527577662488
2022-01-11 01:08:16,OZEUDM9C,"Chicago, IL",Jeux en Ligne,-68.72460771061391,182.62404111695383,3.0,0.5770868541110331,0.3039385065176296,0.596568733931449,0.43031194110527937,0.01131049513008238,0.19269011328792332
2019-04-18 03:26:10,8SQ7ROUW,"Los Angeles, CA",Réseaux Sociaux,-37.28970556193407,138.94699149197308,4.0,0.7048945174834033,0.7713056890772225,0.6189729291353357,0.08074734165863551,0.020421694958473232,0.2970249064720525
,FEFIJ88E,"San Antonio, TX",Jeux en Ligne,-85.81133100473374,152.43844563568555,2.0,0.4553475503096426,0.4754206261064444,0.5400287918864038,0.6203209176217049,0.017050029505709965,0.18941248886980477
2021-08-20 14:38:16,XI8U07TB,"San Antonio, TX",Visioconférence,-43.47153874550273,62.01162582948692,5.0,0.6626889509683292,0.38276598279517227,0.841649964730457,0.14949099578039332,0.0676859841149425,0.24000863119009377
2022-03-29 00:01:33,7LJ9ZWBB,"San Diego, CA",Streaming Vidéo,-113.2207934207335,197.02049673393535,1.0,0.22266675868436805,0.146286915789132,0.5371760520665919,0.9251215403556039,0.009192545641318512,0.07990786344979145
2022-10-19 07:19:46,XVVHGY35,"Dallas, TX",Streaming Musical,-47.918434915547806,160.44729751450674,3.0,0.8021537954919078,0.581341799547751,0.6182264308184305,0.19894168187161454,0.015316733575233363,0.29156890219894793
2022-03-14 17:46:57,T3OV614L,"Philadelphia, PA",Téléchargement de Fichiers,-50.59154818196649,20.57150973565834,5.0,0.6946578043838282,0.6587420285867934,0.4643483895659607,0.22866742314580524,0.23963949754419978,0.332385629770026
2022-12-20 03:40:31,QIWOXWAS,"Houston, TX",Visioconférence,-77.66327716335707,238.81419474751124,2.0,0.40145218145167416,0.5174157340824617,0.9346174665722863,0.5297123588974288,0.0044906971827204725,0.17909807977096792
2022-04-22 03:22:14,VASCLU2E,"Chicago, IL",Visioconférence,-71.08064275660126,120.82395965024884,1.0,0.7804410428590605,0.4574841490013355,0.7569569924201663,0.45651168695584543,0.026135928885204916,0.27026686528626664
